"","empresa","indice_solucao","reclamacoes_respondidas","nao_respondidas","avaliadas","nota","nota_consumidor","voltariam_negociar","linkLoja","per_nao_respondida","qtd_reclamacoes"
"1","americanas - Loja Online",90.4,98.3,202,6233,8.7,7.95,80.5,"https://www.reclameaqui.com.br/empresa/americanas-com-loja-online/",3.2,6435
"2","Brastemp",91.1,94.4,433,3191,8.4,7.48,77.8,"https://www.reclameaqui.com.br/empresa/brastemp-consul/",13.6,3624
"3","Magazine Luiza - Loja Online",90.7,95.3,2465,21982,8.2,7.12,73.1,"https://www.reclameaqui.com.br/empresa/magazine-luiza-loja-online/",11.2,24447
"4","Casas Bahia - Loja Online",82.9,95.5,1103,9126,7.3,5.86,59.5,"https://www.reclameaqui.com.br/empresa/casas-bahia-loja-online/",12.1,10229
